Division2,Extranjero,Altura,Peso,Edad,PiernaPreferida,Posicion,Valor,SueldoMensual,CalidadActual,CalidadPotencial
Argentina (Premier Division),NO,173,75,35,Diestro,Mediocampista,200000,18400,129,178
Argentina (Premier Division),NO,171,62,18,Diestro,Mediocampista,2500000,14800,120,171
Argentina (Premier Division),NO,174,73,35,Diestro,Mediocampista,325000,23000,138,169
Argentina (Premier Division),SI,184,80,36,Diestro,Arquero,1900000,228000,145,167
Argentina (Premier Division),NO,180,74,38,Diestro,Mediocampista,250000,20000,126,165
Argentina (Premier Division),NO,174,70,17,Diestro,Delantero,500000,5200,103,160
Argentina (Premier Division),NO,184,70,16,Diestro,Defensor,825000,100,101,159
Argentina (Second Division),NO,184,79,19,Diestro,Delantero,975000,10800,118,159
Argentina (Premier Division),NO,177,75,22,Diestro,Mediocampista,5750000,46000,129,159
Argentina (Premier Division),NO,182,68,19,Diestro,Mediocampista,1900000,18400,118,158
Argentina (Premier Division),NO,183,84,37,Diestro,Defensor,250000,21000,128,158
Argentina (Premier Division),NO,172,64,21,Diestro,Mediocampista,3000000,45000,136,158
Argentina (Second Division),NO,185,81,17,Zurdo,Defensor,675000,6400,103,157
Argentina (Premier Division),NO,177,75,19,Diestro,Mediocampista,1600000,11200,116,157
Argentina (Premier Division),NO,187,76,17,Diestro,Mediocampista,950000,12000,106,157
Argentina (Second Division),NO,182,79,35,Diestro,Defensor,225000,22000,127,156
Argentina (Premier Division),NO,177,73,33,Diestro,Mediocampista,1100000,26000,138,155
Argentina (Premier Division),NO,170,65,19,Diestro,Delantero,1500000,15200,118,155
Argentina (Premier Division),NO,173,68,19,Zurdo,Delantero,2100000,13200,121,153
Argentina (Premier Division),SI,183,73,33,Diestro,Delantero,475000,10800,114,153
Argentina (Premier Division),SI,189,87,34,Diestro,Delantero,100000,8400,122,153
Argentina (Premier Division),NO,173,71,28,Diestro,Delantero,3600000,26000,140,152
Argentina (Premier Division),NO,189,85,32,Diestro,Arquero,2500000,30000,143,152
Argentina (Premier Division),NO,176,72,34,Diestro,Delantero,525000,23000,133,152
Argentina (Premier Division),NO,177,66,19,Zurdo,Delantero,900000,7600,110,152
Argentina (Premier Division),NO,173,73,20,Diestro,Mediocampista,2300000,20000,120,152
Argentina (Premier Division),SI,185,81,32,Zurdo,Mediocampista,1600000,26000,130,151
Argentina (Premier Division),NO,183,77,22,Diestro,Defensor,2800000,22000,131,150
Argentina (Second Division),NO,167,66,37,Ambidiestro,Defensor,52000,8400,109,150
Argentina (Premier Division),NO,176,68,33,Diestro,Mediocampista,1000000,18800,130,150
Argentina (Premier Division),NO,173,71,21,Diestro,Mediocampista,2400000,17600,127,150
Argentina (Premier Division),NO,175,69,35,Zurdo,Mediocampista,275000,15200,128,150
Argentina (Premier Division),SI,186,85,30,Diestro,Arquero,2600000,25000,142,150
Argentina (Premier Division),NO,182,78,31,Diestro,Delantero,2600000,24000,136,150
Argentina (Premier Division),SI,167,65,22,Diestro,Mediocampista,3000000,23000,136,150
Argentina (Premier Division),NO,172,60,16,Diestro,Delantero,250000,3000,89,149
Argentina (Premier Division),NO,169,59,16,Zurdo,Delantero,200000,100,80,149
Argentina (Premier Division),SI,179,70,21,Diestro,Mediocampista,2200000,19200,124,149
Argentina (Premier Division),NO,171,64,17,Diestro,Delantero,375000,100,92,149
Argentina (Premier Division),NO,188,77,31,Diestro,Delantero,2900000,26000,133,149
Argentina (Premier Division),NO,173,70,22,Diestro,Mediocampista,3400000,18400,131,149
Argentina (Premier Division),NO,188,84,31,Zurdo,Mediocampista,1900000,14800,121,149
Argentina (Premier Division),NO,167,62,18,Diestro,Delantero,650000,100,98,149
Argentina (Premier Division),NO,181,74,16,Diestro,Mediocampista,625000,100,99,148
Argentina (Premier Division),NO,167,55,16,Zurdo,Mediocampista,900000,100,106,148
Argentina (Premier Division),NO,194,81,28,Diestro,Arquero,2800000,28000,144,148
Argentina (Premier Division),NO,169,69,19,Diestro,Delantero,1800000,11600,118,148
Argentina (Premier Division),NO,180,65,22,Diestro,Mediocampista,2400000,18000,125,148
Argentina (Premier Division),SI,177,73,23,Diestro,Mediocampista,2200000,19600,129,148
Argentina (Premier Division),NO,183,86,38,Diestro,Delantero,250000,21000,131,148
Argentina (Premier Division),NO,175,66,17,Zurdo,Mediocampista,700000,6000,96,148
Argentina (Premier Division),NO,183,80,23,Diestro,Defensor,2800000,23000,134,148
Argentina (Second Division),NO,176,81,37,Diestro,Delantero,165000,15200,118,148
Argentina (Premier Division),NO,176,65,19,Zurdo,Delantero,2300000,47000,119,148
Argentina (Premier Division),SI,177,75,23,Diestro,Defensor,2400000,21000,127,148
Argentina (Premier Division),NO,175,74,20,Diestro,Defensor,1200000,9600,114,147
Argentina (Second Division),SI,180,75,37,Diestro,Mediocampista,110000,3500,120,147
Argentina (Premier Division),SI,169,68,26,Zurdo,Mediocampista,3700000,28000,138,147
Argentina (Premier Division),NO,183,75,19,Diestro,Delantero,1700000,31000,116,147
Argentina (Premier Division),NO,178,68,21,Diestro,Mediocampista,1800000,17600,124,147
Argentina (Premier Division),NO,181,76,17,Zurdo,Delantero,500000,5200,105,146
Argentina (Premier Division),NO,178,75,32,Zurdo,Defensor,1000000,14400,120,146
Argentina (Premier Division),NO,173,69,35,Diestro,Mediocampista,300000,22000,131,146
Argentina (Second Division),NO,181,78,39,Diestro,Mediocampista,210000,15200,119,146
Argentina (Premier Division),NO,175,68,18,Zurdo,Delantero,1000000,8400,110,146
Argentina (Premier Division),NO,174,75,36,Diestro,Delantero,275000,60000,135,146
Argentina (Premier Division),NO,165,60,16,Diestro,Mediocampista,375000,100,96,146
Argentina (Premier Division),NO,183,71,17,Zurdo,Delantero,275000,100,89,146
Argentina (Premier Division),SI,181,76,23,Zurdo,Defensor,2900000,17600,130,146
